Platform,Posted Date,Title,Content,Source,Post URL
x,2026-04-16T05:47:37+00:00,,I think I definitely have plantar fasciitis. My foot hurts so bad.,shrimpsquiggles,https://x.com/shrimpsquiggles/status/2044653922967834830
x,2026-04-16T14:46:04+00:00,,Where are we getting cheap ish summer sandals that are comfy and wide toe box friendly?,agreatdayinnc,https://x.com/agreatdayinnc/status/2044789428455969149
x,2026-04-17T02:26:09+00:00,,Wide toe box time https://t.co/5UGsqjXhAi,rustbelt_,https://x.com/rustbelt_/status/2044965607787921729
x,2026-04-14T13:15:37+00:00,,Dealing With Swollen Feet https://t.co/f5TJGtpIwj https://t.co/sKJyfzmNQE,vincentvessdpm,https://x.com/vincentvessdpm/status/2044041888974680437
x,2026-04-15T16:26:13+00:00,,Wow at supermarket enjoying swollen feet https://t.co/V3l8YAFSOo,NBieleu19735,https://x.com/NBieleu19735/status/2044452242816737612
x,2026-04-20T00:00:31+00:00,,i cant even walk for more than 10k steps because i have like plantar fasciitis this shit is ruining my life,ranuova,https://x.com/ranuova/status/2046016121124569511
x,2026-04-20T21:12:43+00:00,,how do ppl walk for like 5+ hours and not get foot pain....how do u not have like HORRIBLE plantar fasciitis?? i've been able to reduce mine but like i only do 10k steps which is ~ 1 hour and 40 mins,cherrysdiaryyyy,https://x.com/cherrysdiaryyyy/status/2046336284570849774
x,2026-04-17T17:17:15+00:00,,wondering if i should go for a brisk walk and light jog tmr morning…tho lately i feel like my left bottom heel is flaring up w that shitty plantar fasciitis again 🫩,_kimmina96,https://x.com/_kimmina96/status/2045189863843217898
x,2026-04-19T12:46:42+00:00,,"Plantar fasciitis, numerous ankle sprains, and torn achilles on the same foot obviously I need to give it up for I have no foot😭",Quis_Steezy,https://x.com/Quis_Steezy/status/2045846549700227186
x,2026-04-15T12:37:30+00:00,,"I've got a heel spur, or plantar fasciitis, or combination of the two. Not overly painful, but I don't want to aggravate it either. No running today, maybe tomorrow.",docreport,https://x.com/docreport/status/2044394683242029312
x,2026-04-19T16:00:26+00:00,,"My son Louis is 26. He has ME/CFS and hEDS — conditions that make every step cost him enormously. He can walk, but his body pays for it. His energy is finite. His joints unstable. His walker throws him to the ground.",Jesse,https://x.com/Jesse/status/2045895305581707767
x,2026-04-14T18:15:35+00:00,,Dealing With Swollen Feet https://t.co/ZYhalqethl https://t.co/ZLlijI9MdU,romeofootclinic,https://x.com/romeofootclinic/status/2044117378020307415
x,2026-04-14T13:30:35+00:00,,Dealing With Swollen Feet https://t.co/JaPdHlwYUW,LegAnkle77073,https://x.com/LegAnkle77073/status/2044045654914412930
x,2026-04-16T20:34:24+00:00,,I really dgaf what you guys are talking about and who’s a cheater or not my plantar fasciitis is flaring up and that is a true testament to my signs of aging cause it’s sure not in this face 🙏🏼,marriedilya,https://x.com/marriedilya/status/2044877087102627991
x,2026-04-16T20:07:15+00:00,,I enjoyed my most recent walk too much now I have matching blisters on both of my swollen feet but I tell myself they look like stigmata and that’s kinda metal so it’s okay,blubadoobbb,https://x.com/blubadoobbb/status/2044870254954950826
x,2026-04-17T19:24:38+00:00,,"Expecting me to go there with my goddamn money, no car, swollen feet, going back and forth. For real?",svrxhm,https://x.com/svrxhm/status/2045221920933847429
x,2026-04-16T18:25:53+00:00,,The plantar fasciitis… relatable! 👍🏼✨🫶🏻 https://t.co/3ROxzb1c6B,rubizarre,https://x.com/rubizarre/status/2044844747781513321
x,2026-04-16T14:16:57+00:00,,"Things I can attribute to the menopause this week. Dry skin, itchy scalp, swollen feet, trying to pay for my shopping in Boots without actually retrieving bank card from my wallet &amp; instead just blindly tapping my pin in.",JR_Dickenson,https://x.com/JR_Dickenson/status/2044782099350110627
x,2026-04-16T03:05:45+00:00,,My entire body hurts 😭 between the gym &amp; standing all day at work.,__michaelamc,https://x.com/__michaelamc/status/2044613187379544448
x,2026-04-21T15:19:24+00:00,,got plantar fasciitis and taping rlly helped but i guess i can't be doing any fucking walking now??,wilblargh,https://x.com/wilblargh/status/2046609755494404140
x,2026-04-20T18:51:11+00:00,,"Living with fibro and juvenile arthritis has affected my gait since childhood, especially with a leg-length difference—no wonder my plantar fasciitis is chronic. I also suspect I’m neurodivergent, even without a formal diagnosis in my 50s. My son, who… https://t.co/x9Dx0NWCVl https://t.co/Cn8exipNct",halluxcare,https://x.com/halluxcare/status/2046300665056788651
x,2026-04-17T17:40:32+00:00,,"I have a running joke that every medical problem I have only happens once.. like somehow every issue is completely new every. single. time.today it's ✨ plantar fasciitis ✨",Mercy_Dearest,https://x.com/Mercy_Dearest/status/2045195721297514908
x,2026-04-15T09:05:31+00:00,,"Has anyone used kinesiology tape for plantar fasciitis and if yes, which tape? I got Boldfit but yaako feel it’s not great + not sticking too well.",Dhichkyaaon,https://x.com/Dhichkyaaon/status/2044341338125341002
